광역지역,세부지역,관광지명,링크,설명,분류
서울특별시,세부 지역 미상,센트럴시티,https://data.visitkorea.or.kr/page/1221790,"센트럴시티는 서울시 강남구 반포동에 위치해 있다. 신세계 백화점, 메리어트 호텔을 비롯하여 휴식공간인 센트럴파크가 자리하고 있고, 예식장과 대형 행사를 치를 수 있는 밀레니엄 홀과 은행, 병원, 증권, 우체국 등의 편의시설 및 대형주차 공간도 갖추어져 있어 복합문화시설로 한국의 건축 문화를 한 차원 높이는 수준의 복합 건물로 평가되고 있다. 또한 센트럴시티 안에는 고품격 명품 쇼핑몰 마르퀴스 플라자, 다양한 장르의 음반을 취급하는 신나라 레코드, 초대형 문고센터 영풍문고, 세계적으로 대 유행인 선진국형 멀티플렉스 센트럴 6 시네마와 시뮬레이션을 비롯한 첨단 오락시설을 갖춘 도심형 테마파크 등이 자리 잡고 있다.",Festival
경상북도,청송시,송정고택,https://data.visitkorea.or.kr/page/1992543,"주왕산 인근에 위치한 청송 송정고택은 경상북도 문화재자료 제631호 고택이다. 전통 한지 도배와 한실 이불, 천연염색 이불을 갖추고 있어 한옥스테이만의 체험 활동이 가능하며, 푸른 소나무 자연속에서 새소리, 복돌이와 함께 심신을 편안하게 쉴 수 있는 숙소이다. 주변 시설로는 솔기 온천, 객주 문학관, 청송 심수관 도예 전시관이 있어 머물면서 문화생활도 가능하다. 초롱불 행렬 체험, 우리가락 배우기 체험, 투호, 윷, 바둑, 장기, 제기, 공기놀이, 고누, 굴렁쇠 놀이, 고택 음악회 등을 무료로 체험 가능하다. 천연염색체험, 다도체험, 한지체험, 옹기체험, 백자체험 등을 유료로 운영하고 있다.",Accommodation
경상북도,청송시,찰방공종택,https://data.visitkorea.or.kr/page/1997639,"찰방공종택은 맑은 공기가 있는 경상북도 청송에 위치한 고택이다. 두 종류의 숙박종류가 있다. 전통 그대로의 체험을 원하는 투숙객은 들마루가 함께 있는 사랑방, 상방을 추천한다. 직접 아궁이에 불을 떼볼 수 있는 색다른 경험을 할 수 있다. 현대식 건물에서 휴식을 취하고 싶은 투숙객에게는 별채를 추천한다. 재래식 화장실도 최근 모두 정비하여 현대식 샤워실과 화장실을 늘렸다. 투호, 윷, 바둑, 제기, 공기놀이, 굴렁쇠놀이, 자전거 타기 등을 무료로 즐길 수 있다. 염색체험, 다도체험, 한지체험, 민화체험, 송편만들기체험 등을 유료로 운영 중이다. 주변에 청송고택, 송소고택, 청송초전댁 등 관광지가 있다.",Leisure
지역 미상,영주시,만회고택,https://data.visitkorea.or.kr/page/2409490,"봉화만회고택은 만회고택은 국가 지정 중요 민속문화재 169호로, 봉화 영주 지역에서 첫번째, 바래미 마을에서는 유일한 국가 지정 문화재이다. 독립운동의 거점 역할을 한 명가이자 조국의 광복을 위해 헌신하신 세 분의 독립유공자께서 태어난 곳으로, 현재는 그들의 후손이 살고 있다. 투호놀이, 승경도놀이, 시조놀이, 목판 체험, 널뛰기, 사물놀이 악기 무료 대여 (북, 꽹과리, 장구, 징, 거문고, 아쟁 外 ), 윷놀이 등 체험프로그램이 마련되어 있다. 먹감 및 곶감, 찰옥수수, 삶은 땅콩, 찐고구마, 목련꽃차, 딸기쉐이크를 특화서비스로 제공한다.",Leisure
전라북도,세부 지역 미상,문화공간 양사재,https://data.visitkorea.or.kr/page/1871362,문화공간 양사재는 전주 교동 풍남동의 한옥마을에 위치해있다. 향교의 부속건물로써 조선시대 선비들이 공부를 한 장소이다. 대문을 열고 들어가면 앞뜰의 한가로움을 느낄 수 있다. 구들방 아궁이로 불을 지펴 볼 수 있고 아름다운 밤의 전경이 특징인 한옥이다.,Place
지역 미상,세부 지역 미상,녹운재,https://data.visitkorea.or.kr/page/2049307,"녹운재는 한국관광공사가 인증한 한옥이다. 한옥 외부의 벽을 황토와 기와로 만든 덕분에 여름에는 시원하고 겨울에는 따뜻하며, 툇마루를 넓게 내서 야외에 앉아 자연을 즐길 수 있다. 한옥 내부는 수를 놓은 광목천, 손때 묻은 소품 등으로 꾸몄고, 사군자 화가인 두 주인장이 직접 그려 만든 한지 등불을 달았다. 가족끼리 소중한 시간을 보낼 수 있는 독채 한옥으로, 휴식을 취할 수 있다.",Place
경상북도,안동시,지산고택,https://data.visitkorea.or.kr/page/1882903,"안동 지산고택은 200여 년의 역사를 간직한 ‘지산 류지영’ 선생의 가옥으로, 경상북도 민속자료로 지정되었다. 객실은 안방, 상방, 사랑방, 초가방 총 4개로, 사랑방엔 단독 마루와 화장실이 있다. 탁 트인 잔디마당 안에 자리한 한옥은 세월의 흔적을 머금고 고풍스러운 멋을 자아내고, 고즈넉한 휴식 공간과 다양한 체험 프로그램을 두루 갖추고 있어 여행객들에게 인기가 좋다. 조식으로 떡 구이와커피를 제공한다.",Leisure
지역 미상,태백시,태백산 한옥펜션,https://data.visitkorea.or.kr/page/1884057,"태백산 한옥펜션은 약 200년 된 적송으로 지은 고택으로, 태백산과 한백산에 둘러싸인 청정고원지대에 위치하여 주변 경관이 사계절 내내 맑고 아름답다. 여름이면 집 마당에 둘러앉아 수박을 먹거나 바비큐를 즐기고, 겨울에는 아궁이 군불에서 구운 군고구마를 즐기며 소소한 추억거리를 만들 수 있다. 또한 전통혼례, 윷놀이, 굴렁쇠, 등의 전통체험도 준비되어 있다. 주변 관광지로 탄광 철암마을, 해바라기축제가 열리는 구와우마을이 있다. 100m NAVER © NAVER Corp.",Festival
전라북도,세부 지역 미상,한옥이야기,https://data.visitkorea.or.kr/page/2046299,한옥이야기는 전통문화의 중심지 전주 한옥마을 내에 위치한 전통 한옥민박으로 한국의 아름다움을 가장 잘 느낄 수 있는 게스트하우스다. 드라마 성균관스캔들로 잘 알려진 향교 근처에 위치하여 한옥마을을 여행하기에 가장 좋은 숙소이다. 조식으로 향긋한 차 한 잔과 맛있는 한식을 제공한다. 편백나무 카페에서 편안한 휴식까지 취할 수 있다.,Accommodation
지역 미상,세부 지역 미상,고창읍성한옥마을,https://data.visitkorea.or.kr/page/2049790,"고창군 한옥마을은 고창읍성 옆에 위치하고 있는 숙박시설이다. 기와집은 고창읍성 내에 있는 관아의 객사 등을 재현해놓아 전통한옥을 체험할 수 있다. 고창군 한옥마을은 대청마루와 마당 등이 딸려 있어 기품있는 운치 속에서 옛 선조들의 생활을 만끽할 수 있다. 각 객실내부에는 텔레비전과 에어컨, 냉장고, 와이파이 등을 구비했다. 단순 숙박뿐 아니라 도예체험장과 공예품전시관에서 체험이 가능하며 가까운 석정온천 이용이 가능하다.",Leisure
